usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6,pelicula7,pelicula8,pelicula9,pelicula10
User1,5,2,9,8,3,1,8,3,3,2
User2,5,3,10,7,1,10,5,3,1,7
User3,7,9,4,3,4,8,7,10,6,6
User4,1,9,2,9,1,9,9,1,10,8
User5,2,10,7,10,2,9,4,7,1,10
User6,2,8,10,8,10,9,3,2,7,9
User7,2,5,10,5,3,8,8,6,10,1
User8,6,7,4,10,5,6,7,1,5,5
User9,6,4,8,2,2,9,3,8,6,10
User10,10,3,1,7,7,4,3,1,6,7
User11,5,9,3,4,9,5,7,3,8,9
User12,4,5,5,6,8,2,5,2,10,4
User13,5,9,10,3,4,4,1,1,5,3
User14,5,7,9,1,1,9,7,5,8,7
User15,10,8,10,4,1,4,2,1,2,8
User16,9,9,1,9,3,1,6,5,6,2
User17,4,4,7,1,5,1,6,1,3,2
User18,1,8,7,7,10,1,5,2,3,7
User19,10,3,7,10,6,4,1,8,7,3
User20,3,8,5,2,1,3,8,4,8,4
User21,4,3,1,8,3,1,8,1,1,7
User22,6,5,5,3,9,3,2,4,8,1
User23,4,3,9,9,1,1,5,5,1,9
User24,1,4,3,7,2,3,1,9,8,1
User25,8,5,3,9,5,3,5,10,9,7
User26,8,4,4,5,3,8,4,3,10,6
User27,9,6,5,10,7,9,9,3,9,5
User28,5,1,2,2,4,5,6,10,6,8
User29,9,2,7,7,3,10,9,7,2,2
User30,8,8,5,1,4,5,8,7,1,10
User31,5,4,8,1,5,1,2,8,3,4
User32,10,4,4,6,10,10,8,8,3,5
User33,1,5,7,4,9,7,3,6,8,6
User34,1,8,1,4,7,3,6,8,8,7
User35,7,8,5,6,10,3,3,2,4,9
User36,4,10,1,9,3,10,9,4,1,4
User37,10,9,1,5,1,6,3,9,5,6
User38,7,6,2,7,10,9,8,1,10,5
User39,8,7,7,10,4,7,8,7,5,2
User40,10,2,8,1,9,6,3,6,9,8
User41,5,8,3,7,9,3,2,2,6,9
User42,1,9,7,9,9,1,5,6,2,2
User43,2,6,10,1,1,8,7,2,10,4
User44,2,5,8,5,2,2,1,6,4,4
User45,9,2,8,3,6,10,6,4,10,5
User46,9,5,10,3,3,7,6,2,9,2
User47,5,4,2,6,5,1,2,10,3,8
User48,6,3,1,6,7,5,8,6,4,8
User49,4,7,5,3,6,2,5,2,2,7
User50,2,10,2,4,9,4,5,3,9,4
User51,6,1,2,7,4,8,10,10,1,2
User52,10,1,7,4,9,3,9,7,2,3
User53,8,3,10,7,5,6,1,3,1,9
User54,9,5,3,1,1,4,3,7,4,10
User55,10,4,4,3,10,3,5,6,10,1
User56,2,3,5,1,6,9,7,4,8,8
User57,2,1,7,10,1,3,7,2,4,10
User58,8,4,4,4,4,4,9,4,8,7
User59,6,5,9,2,3,3,1,6,9,1
User60,5,4,7,5,6,10,1,9,10,6
User61,5,1,1,5,2,1,9,10,5,8
User62,10,8,1,1,6,5,5,6,4,7
User63,3,7,6,10,10,9,6,5,3,7
User64,8,8,5,3,1,9,5,8,4,5
User65,4,6,9,3,5,7,5,8,10,7
User66,1,5,6,9,4,1,9,3,1,9
User67,5,6,7,4,10,5,9,9,4,6
User68,10,6,8,2,7,4,1,4,4,6
User69,9,3,4,10,10,1,8,10,9,8
User70,2,2,3,5,2,5,9,9,4,6
User71,2,1,6,3,6,5,2,10,5,3
User72,7,9,6,10,10,5,1,3,7,3
User73,8,5,8,9,2,3,4,10,6,6
User74,3,5,1,3,8,10,2,3,7,3
User75,3,6,4,10,7,5,5,5,7,10
User76,1,5,1,2,9,7,4,7,1,5
User77,3,10,3,9,9,10,10,1,3,5
User78,9,9,9,7,8,3,4,5,7,2
User79,3,3,1,4,6,7,10,2,1,10
User80,6,10,1,7,4,1,6,6,6,8
User81,4,3,3,3,6,10,3,5,10,5
User82,5,3,4,8,2,6,3,2,8,1
User83,2,1,4,5,1,2,7,8,10,2
User84,10,8,3,1,7,1,5,3,4,6
User85,6,7,7,8,9,10,8,8,7,6
User86,4,1,2,9,4,5,9,5,4,9
User87,3,7,3,6,6,3,5,3,1,5
User88,5,2,3,5,8,5,2,3,5,2
User89,4,4,3,10,7,4,2,5,6,6
User90,8,6,2,1,4,5,9,10,7,1
User91,4,3,6,3,8,6,7,10,4,1
User92,1,4,3,10,8,6,1,6,1,7
User93,5,5,3,1,2,2,9,5,6,4
User94,4,3,10,8,9,8,2,3,5,3
User95,2,9,2,4,3,9,4,1,2,6
User96,8,1,10,8,9,2,1,6,7,2
User97,4,6,5,6,10,1,10,1,1,3
User98,8,9,5,1,7,8,6,4,3,4
User99,9,4,5,2,10,2,10,3,2,2
User100,10,2,10,10,1,1,7,9,4,7
User101,2,10,4,1,3,1,1,8,7,3
User102,8,7,4,1,8,5,10,8,7,5
User103,8,1,4,6,9,5,2,9,3,4
User104,5,4,5,9,5,8,8,10,3,8
User105,3,5,1,10,3,9,10,7,10,10
User106,1,10,9,8,1,8,1,6,3,5
User107,2,7,6,10,8,3,4,1,8,10
User108,2,9,1,8,4,5,7,7,1,9
User109,10,5,4,5,6,9,6,9,3,10
User110,8,2,8,5,10,8,5,7,2,8
User111,2,3,10,7,10,7,1,9,6,10
User112,10,9,3,1,7,2,7,1,6,9
User113,8,6,7,5,3,4,8,10,10,9
User114,7,3,2,10,5,8,6,9,7,3
User115,3,1,2,6,7,5,7,5,1,9
User116,8,7,9,2,8,8,5,2,8,6
User117,1,4,6,3,3,2,1,8,5,5
User118,9,9,8,5,4,10,3,4,3,6
User119,1,5,7,9,8,10,6,5,6,5
User120,3,6,3,4,3,3,4,7,9,4
User121,10,4,4,2,9,9,8,4,2,2
User122,2,1,4,7,4,7,4,1,2,6
User123,9,3,6,5,4,8,6,1,2,3
User124,8,6,8,1,5,4,1,8,8,1
User125,2,1,2,9,7,1,10,1,8,1
User126,5,5,3,6,4,3,10,6,2,10
User127,8,8,4,1,6,4,3,3,2,8
User128,4,10,4,3,8,10,8,1,3,6
User129,7,4,7,6,6,1,7,4,8,6
User130,2,2,4,7,8,3,7,10,5,5
User131,6,7,1,4,8,10,4,9,10,1
User132,5,7,9,2,8,9,8,2,1,7
User133,5,7,1,1,10,1,1,4,7,5
